Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
8.52917	10	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	10	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	12	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	12	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	16	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	16	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	18	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	18	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	20	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	20	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	22	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	22	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	23	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	23	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	24	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	24	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	25	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	25	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	26	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	26	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	27	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	27	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	28	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	28	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	29	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	29	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	5	0	8	LastDelay	0.0291674	29167.4	1	1
8.52917	5	0	8	FullDelay	0.0291674	29167.4	1	1
8.52917	0	0	8	LastDelay	0.0291674	29167.4	1	1
8.52917	0	0	8	FullDelay	0.0291674	29167.4	1	1
10.5114	19	0	9	LastDelay	0.0113534	11353.4	1	0
10.5114	19	0	9	FullDelay	0.0113534	11353.4	1	0
10.5325	3	0	9	LastDelay	0.0325127	32512.7	1	1
10.5325	3	0	9	FullDelay	0.0325127	32512.7	1	1
10.5341	7	0	9	LastDelay	0.0341357	34135.7	1	1
10.5341	7	0	9	FullDelay	0.0341357	34135.7	1	1
10.5341	8	0	9	LastDelay	0.0341357	34135.7	1	1
10.5341	8	0	9	FullDelay	0.0341357	34135.7	1	1
10.5341	13	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	13	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	15	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	15	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	17	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	17	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	21	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	21	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	2	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	2	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	12	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	12	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	16	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	16	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	18	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	18	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	20	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	20	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	22	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	22	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	23	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	23	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	24	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	24	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	25	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	25	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	26	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	26	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	27	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	27	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	28	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	28	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	29	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	29	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	10	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	10	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	5	0	9	LastDelay	0.0341358	34135.8	1	1
10.5341	5	0	9	FullDelay	0.0341358	34135.8	1	1
10.5341	0	0	9	LastDelay	0.0341359	34135.9	1	1
10.5341	0	0	9	FullDelay	0.0341359	34135.9	1	1
12.5133	19	0	10	LastDelay	0.0133155	13315.5	1	0
12.5133	19	0	10	FullDelay	0.0133155	13315.5	1	0
12.5232	3	0	10	LastDelay	0.0232092	23209.2	1	1
12.5232	3	0	10	FullDelay	0.0232092	23209.2	1	1
12.531	7	0	10	LastDelay	0.0310173	31017.3	1	1
12.531	7	0	10	FullDelay	0.0310173	31017.3	1	1
12.531	8	0	10	LastDelay	0.0310173	31017.3	1	1
12.531	8	0	10	FullDelay	0.0310173	31017.3	1	1
12.531	13	0	10	LastDelay	0.0310173	31017.3	1	1
12.531	13	0	10	FullDelay	0.0310173	31017.3	1	1
12.531	15	0	10	LastDelay	0.0310173	31017.3	1	1
12.531	15	0	10	FullDelay	0.0310173	31017.3	1	1
12.531	17	0	10	LastDelay	0.0310173	31017.3	1	1
12.531	17	0	10	FullDelay	0.0310173	31017.3	1	1
12.531	21	0	10	LastDelay	0.0310173	31017.3	1	1
12.531	21	0	10	FullDelay	0.0310173	31017.3	1	1
12.531	2	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	2	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	12	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	12	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	16	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	16	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	18	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	18	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	20	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	20	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	22	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	22	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	23	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	23	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	24	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	24	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	25	0	10	LastDelay	0.0310174	31017.4	1	1
12.531	25	0	10	FullDelay	0.0310174	31017.4	1	1
12.531	26	0	10	LastDelay	0.0310174	31017.4	1	1
